subj,act
s1,Acting1
s1,Acting2
s1,Acting3
s1,freestyle1
s1,freestyle2
s1,freestyle3
s1,rom1
s1,rom2
s1,rom3
s1,walking1
s1,walking2
s1,walking3
s2,acting1
s2,acting2
s2,acting3
s2,freestyle1
s2,freestyle2
s2,freestyle3
s2,rom1
s2,rom2
s2,rom3
s2,walking1
s2,walking2
s2,walking3
s3,acting1
s3,acting2
s3,acting3
s3,freestyle1
s3,freestyle2
s3,freestyle3
s3,rom1
s3,rom2
s3,rom3
s3,walking1
s3,walking2
s3,walking3
s4,acting3
s4,freestyle1
s4,freestyle3
s4,rom3
s4,walking2
s5,acting3
s5,freestyle1
s5,freestyle3
s5,rom3
s5,walking2
